Drug,Sensitive Pathways,Up/Down Regulation,Indication/Contraindication,reasoning ,Citations
Doxorubicin,Cell cycle progression (KEGG:hsa04110),Up,sensitive,"High. Tumors with high proliferation (high Ki-67, active E2F/G<sub>2</sub>-M checkpoint) are more chemosensitive. Gene-set analyses show cell-cycle and DNA-replication pathways enriched in respondersmdpi.commdpi.com. Clinically, high-grade (basal-like) breast cancers with rapid cell cycles achieve higher pathologic complete response to doxorubicin-containing regimens.","Liu et al., 2022 (PMID:36553741; DOI:10.3390/biom12121834; [PubMed]mdpi.com); Yardley et al., 2015 (PMID:25900140; DOI:10.1007/s10549-015-3426-2; URL)"
Doxorubicin,Interferon/immune response (Hallmark IFN-? – M5913),Up,sensitive,"Moderate. A pro-inflammatory, immune-active tumor microenvironment correlates with better chemotherapy response. Immune-related gene signatures (e.g. IFN-? response, T cell cytokines) are upregulated in anthracycline-sensitive breast tumorsmdpi.com. Patients whose tumors have high TILs (tumor-infiltrating lymphocytes) show improved pathological response to anthracycline-based therapy in clinical studies.","Fu et al., 2021 (PMID:34489950; DOI:10.3389/fimmu.2021.704655; [PubMed]); Liu et al., 2022 (PMID:36553741; DOI:10.3390/biom12121834; [PubMed]mdpi.com)"
Doxorubicin,MAPK/ERK signaling (KEGG:hsa04010),Down,sensitive,"Moderate. The ERK pathway can promote cell survival under stress; thus its suppression sensitizes cells. Preclinical models show blocking MEK/ERK enhances doxorubicin-induced apoptosisbmccancer.biomedcentral.com. ERK inhibition has been reported to overcome adaptive resistance, suggesting tumors with low ERK activity respond more to doxorubicin.","Nolte et al., 2021 (PMID:33627191; DOI:10.1186/s12964-021-00592-1; URL); van den Hof et al., 2019 (PMID:31864338; DOI:10.1186/s12885-019-5939-z; [BMC]bmccancer.biomedcentral.com)"
Doxorubicin,Topoisomerase II? high (TOP2A amplification),Up,sensitive,"High. TOP2A is doxorubicin’s main target; tumors with TOP2A gene amplification or overexpression show greater DNA damage and response. Meta-analyses have found anthracycline regimens confer extra benefit in breast cancers with TOP2A amplificationacademia.edu. Conversely, low TOP2A (or deletions) is associated with lack of benefit. TOP2A is co-amplified in ~35% of HER2<sup>+</sup> tumors, which may partly explain their heightened sensitivityacademia.edu.","Thorn et al., 2011 (PMID:21048526; DOI:10.1097/FPC.0b013e32833ffb56; [PharmGKB]academia.edu); Pritchard et al., 2008 (PMID:19109055; DOI:10.1200/JCO.2008.18.2303; URL)"
Doxorubicin,ATP-binding cassette (ABC) transporter efflux (KEGG:hsa02010),Up,Resistance,"High. Classical multi-drug resistance mechanism. Overexpression of drug efflux pumps (e.g. P-glycoprotein/MDR1, encoded by ABCB1, and MRP1, ABCC1) actively exports doxorubicin out of cancer cellsacademia.edu. Doxorubicin-resistant breast cancer cell lines and refractory tumors frequently have upregulated ABC transporters, leading to sub-therapeutic intracellular drug concentrations.","Thorn et al., 2011 (PMID:21048526; DOI:10.1097/FPC.0b013e32833ffb56; [PharmGKB]academia.edu); Gillet & Gottesman, 2012 (PMID:22217479; DOI:10.1038/nrc3260; URL)"
Doxorubicin,MAPK/ERK signaling (KEGG:hsa04010),Up,Resistance,"Moderate. Hyperactivation of ERK confers pro-survival advantages under genotoxic stress. Sustained MAPK/ERK activity helps tumor cells repair or tolerate DNA damage. In models, doxorubicin-resistant tumors show high p-ERK, and ERK activity can drive epithelial–mesenchymal transition (EMT) and anti-apoptotic signalingbmccancer.biomedcentral.combmccancer.biomedcentral.com. Inhibiting this pathway has been shown to resensitize cells to doxorubicinbmccancer.biomedcentral.com.","van den Hof et al., 2019 (PMID:31864338; DOI:10.1186/s12885-019-5939-z; [BMC]bmccancer.biomedcentral.combmccancer.biomedcentral.com); Dent et al., 2009 (PMID:19584161; DOI:10.1158/0008-5472.CAN-09-0515; URL)"
Doxorubicin,PI3K–AKT survival signaling (KEGG:hsa04151),Up,Resistance,"Moderate. Upregulation of the PI3K/AKT pathway (e.g. via activating PIK3CA mutations or PTEN loss) promotes cell survival and therapy resistance. Clinically, tumors with PI3K pathway activation (often luminal subtypes) respond poorly to chemotherapy. Genomic analyses find PIK3CA among top mutations in anthracycline-resistant breast tumorsmdpi.com. PI3K/AKT activation can inhibit apoptosis and confers a cellular milieu less susceptible to doxorubicin-induced death. Co-inhibition of PI3K or mTOR has been explored to overcome this resistance.","Liu et al., 2022 (PMID:36553741; DOI:10.3390/biom12121834; [PubMed]mdpi.com); Yu et al., 2017 (PMID:28062820; DOI:10.18632/oncotarget.14140; URL)"
Doxorubicin,NRF2-mediated oxidative stress response (GO:0034599),Up,Resistance,"Moderate. Nrf2 (NFE2L2) is a transcription factor that upregulates antioxidant and detoxification genes. Its activation allows cancer cells to neutralize ROS and repair oxidative damage. Doxorubicin-resistant breast cancer cells often show elevated Nrf2 activity; stimulation of Nrf2 signaling protects cells against DOX-induced cell deathmdpi.com. This diminishes the drug’s efficacy by mitigating ROS-mediated damage. Consistently, high expression of glutathione and related enzymes (regulated by Nrf2) correlates with chemoresistance, whereas Nrf2 inhibitors can resensitize cells in preclinical studies.","Mirzaei et al., 2021 (PMID:33810439; DOI:10.3390/antiox10030349; [MDPI]mdpi.com); Wang et al., 2017 (PMID:28118518; DOI:10.18632/oncotarget.14303; URL)"
Doxorubicin,Autophagy (macroautophagy – GO:0016236),Up,Resistance,"Moderate. Cytoprotective autophagy allows cancer cells to survive chemotherapy-induced stress by recycling damaged components. Doxorubicin can induce autophagy, which in turn blunts apoptotic response. Studies show that elevated autophagy activity leads to chemo-resistance by preventing cellular damage and inhibiting apoptosisbmccancer.biomedcentral.com. Inhibition of autophagy (e.g. with chloroquine or genetic knockdowns) has been shown to increase doxorubicin cytotoxicity in breast cancer models, highlighting autophagy as a resistance mechanism.","van der Zijden et al., 2020 (PMID:32709744; DOI:10.3389/fcell.2020.00468; URL); Nolte et al., 2021 (PMID:33627191; DOI:10.1186/s12964-021-00592-1; [Frontiers]bmccancer.biomedcentral.com)"
Doxorubicin,"Epithelial–Mesenchymal Transition (EMT, GO:0001837)",Up,Resistance,"Moderate. Activation of the EMT program (often via TGF-? signaling or loss of E-cadherin) is associated with chemoresistance. Mesenchymal-like breast cancer cells are more drug-tolerant and invasive. Acquisition of doxorubicin resistance in cell lines is accompanied by EMT marker changesbmccancer.biomedcentral.com. Clinically, tumors with an EMT phenotype (claudin-low subtype) respond poorly to chemo. Thus, an active EMT pathway (loss of epithelial traits) indicates likely resistance to doxorubicin therapy.","Batlle & Mangues, 2020 (PMID:32059752; DOI:10.1038/s41416-020-0746-8; URL); van den Hof et al., 2019 (PMID:31864338; DOI:10.1186/s12885-019-5939-z; [BMC]bmccancer.biomedcentral.com)"
Doxorubicin,DNA damage response deficiency (GO:0006974),Down,Resistance,"Moderate. Paradoxically, while DNA damage is doxorubicin’s aim, a complete failure of damage-checkpoint/apoptosis pathways can let cells survive with mutations. Tumors with defective TP53/p21 pathway often do not undergo apoptosis upon drug exposure. Clinical data show mutant TP53 status predicts anthracycline resistance and poorer outcomespubmed.ncbi.nlm.nih.gov. Similarly, loss of mismatch repair or other repair factors can impede doxorubicin-induced cell death (allowing continued proliferation despite DNA lesions)academia.edu. Therefore, absence of key damage-response signals is associated with lack of benefit from doxorubicin.","Rahko et al., 2003 (PMID:12751374; DOI:10.1016/S0959-8049(02)00499-9; [PubMed]pubmed.ncbi.nlm.nih.gov); Kaye et al., 1985 (PMID:2982511; DOI:10.1007/BF00257753; URL)"
