Symbol	D_TGFb_R1
CDKN2A	8.468086411
CDKN2B	6.145674019
CDKN2C	9.114753592
CDKN2D	6.19115595
CDKN3	10.67555416
CDO1	4.469238252
CDR1	3.881117567
CDS1	7.421148408
CDSN	4.934348753
CD52	4.587964253
CDX1	6.164850469
CDX2	5.334040675
CDX4	4.892862187
CLGN	6.358854078
CEACAM5	5.314579491
CEBPA	5.779180655
CEBPB	10.87911589
CEBPD	7.57625933
CEBPE	5.174617263
CEBPG	8.939013889
CEL	5.028510528
CENPA	8.887531568
CENPB	7.916382766
CENPC	6.620484873
CENPE	7.598071159
CENPF	6.808511568
CETN1	5.179214759
CETN2	10.46401417
CETN3	9.472876905
CETP	4.406824377
CFL1	11.40135807
CTSC	10.1347521
CFTR	3.811655891
CGA	4.154270927
CEACAM3	4.856593225
CEACAM7	4.180623928
CEACAM8	3.699053028
CEACAM4	5.472651964
CHAD	5.027593959
RCBTB2	6.45317332
CHAT	5.047091918
RCC1	8.306899371
CHD1	8.810139873
CHD2	5.557782397
CHD3	6.563362043
CHD4	8.596625016
AKR1C4	4.244374031
CHEK1	7.851917928
FOXN3	7.601778683
CHGA	4.973983188
CHGB	5.214187671
CHI3L1	4.167654875
CHI3L2	4.783754042
CHKA	7.467465239
CHKB	7.789362983
CHM	7.638032657
CHML	6.25961489
CHN1	8.659758782
CHN2	4.70794806
CHRM2	4.303559221
LYST	5.91393042
CHRM4	5.232134231
CHRM5	4.41007201
CHRNA1	4.156011231
CHRNA2	6.054636717
CHRNA3	5.254052582
CHRNA4	5.123015125
CHRNA5	7.439391975
CHRNB1	6.486625211
CHRNB2	6.382873379
CHRNB3	4.221189896
CHRND	5.124351837
CHRNE	4.998786787
CHRNG	5.374384871
CHUK	8.258411973
CIDEA	5.332556427
CKB	7.824289525
CIRBP	8.397107696
CISH	6.497969959
TBCB	10.83547816
CKM	4.315830576
CKMT2	4.503351252
ERCC8	7.054471208
CKS1B	11.87466997
CKS2	12.2523904
AP2M1	10.68261251
AP1S1	7.930003236
AP2S1	11.19368861
AP3S1	11.0695153
CLC	4.485238541
CLCA1	4.436578806
CLCN1	5.329270125
CLCN2	5.748057195
CLCN3	7.330935254
CLCN4	5.619124911
CLCN5	5.568505616
CLCN6	6.400020618
CLCN7	8.286721421
CLCNKB	5.612727484
CLU	6.546028867
CLIC1	12.33529641
CLIC2	4.38838119
CLK1	8.198880173
CLK2	8.204874906
CLK3	6.983330381
TPP1	7.634740294
CLN3	7.42216887
CLN5	7.570995575
CLNS1A	8.921461066
CLPS	5.348669571
CLPTM1	7.984473873
CLTA	8.786691095
CLTB	9.281557735
CLTC	6.764585561
CMA1	4.275047595
CCR1	4.669371173
CCR3	4.314404252
CCR4	4.92150319
CCR5	5.791389243
CCR6	3.785122005
CCR7	4.191859796
CCR8	4.512734179
ACKR2	5.138585141
CMKLR1	4.855013026
LTB4R	5.055052083
ABCC2	4.79424986
CNGB1	5.33710476
CNGA1	4.848065082
CNGA3	3.777382053
PLK3	6.58484305
CNN1	5.545392074
CNN2	9.209105108
CNN3	10.51035581
CNP	7.811704684
CNR1	4.339890992
CNR2	5.363781403
CNTFR	5.951848055
CNTN1	6.069314478
COL1A1	8.648836077
COL1A2	5.231609494
COL2A1	4.156453128
COL3A1	5.229062948
COL4A1	9.704871054
COL4A2	9.751239205
COL4A3	4.508364908
COL4A4	5.476553944
COL4A5	6.188678658
COL4A6	5.512379823
COL5A1	6.766612936
COL5A2	7.64118458
COL6A1	7.764284659
COL6A2	6.160803959
COL6A3	5.93218936
COL7A1	9.001713332
COL8A1	6.988462723
COL8A2	5.13423776
COL9A1	4.505747907
COL9A2	5.780631921
COL9A3	4.759889079
COL10A1	4.871785569
COL11A1	5.213998392
COL11A2	5.607745162
COL13A1	5.658971415
COL15A1	4.696060022
COL16A1	6.361854465
COL17A1	5.615619007
COL19A1	4.652066942
COMP	4.67468168
COMT	9.17840757
COPA	9.642726207
COPB1	10.20734855
KLF6	8.170936001
SLC31A1	8.290676782
SLC31A2	8.197096023
CORT	5.748601918
MAP3K8	5.280031907
COX4I1	8.749453853
COX5B	10.13149803
COX6A1	11.39420263
COX6A2	6.201611799
COX6B1	11.63024571
COX6C	12.16082253
COX7A1	4.677975449
COX7A2	12.2611633
COX7B	9.706190734
COX7C	11.07078391
COX8A	12.07289465
COX10	7.960200949
COX11	7.482808408
COX15	8.010935495
CP	4.855246999
CPA1	3.81824493
CPA2	4.946791216
CPA3	4.523937184
CPB1	4.241981553
CPB2	3.89627952
CPD	7.933865179
CPE	7.032906066
CLDN4	6.764386196
CLDN3	6.199659553
CLDN7	5.78042743
CPM	6.098506956
CPN1	4.86865482
CPN2	3.921317708
CPS1	6.705213241
CPT1A	6.296967185
CPT2	7.237623531
CR1	4.226831457
CR2	3.994458212
CRABP1	4.474566884
CRABP2	7.387007788
CRAT	7.316581537
CREB1	8.533289277
ATF2	7.518046403
CREBBP	7.190965231
ATF6B	5.447509035
CREBL2	7.680429367
CREM	7.28869249
CRH	4.740953525
CRHBP	4.096961083
CRHR1	5.427358907
CRHR2	4.451228905
CRIP1	8.415812363
CRIP2	8.842543152
CRK	9.473918309
CRKL	7.78872305
CRMP1	6.300617308
CRP	3.96517895
HAPLN1	4.564977344
CRX	4.210104787
CRY1	8.95008787
CRY2	6.224413365
CRYAA	5.302953387
CRYAB	7.941254944
CRYBA1	3.899246099
CRYBA2	4.73257384
CRYBA4	4.629414978
CRYBB1	5.027861054
CRYBB2	6.201013043
CRYBB3	5.243675448
CRYGA	4.692498974
CRYGB	5.093565448
CRYGC	5.041026559
CRYGD	5.550542457
CRYM	6.417607047
CRYZ	10.21831709
CS	10.68271852
MAPK14	7.316694591
CSE1L	9.784351609
CSF1	6.299346699
CSF1R	6.434371736
CSF2	6.397382671
CSF2RA	4.587191485
CSF2RB	4.021689407
CSF3	6.072097862
CSF3R	4.932059466
CSH1	4.932822086
CSHL1	4.519322533
CSK	8.618485026
CSN1S1	4.074459873
CSN2	3.998180383
CSN3	4.2113014
CSNK1A1	8.626649801
CSNK1D	9.279730235
CSNK1E	8.161012763
CSNK1G2	7.890854535
CSNK1G3	8.701612976
CSNK2A1	8.610480132
CSNK2A2	8.588948753
CSNK2B	11.16655787
VCAN	9.020621051
NCAN	4.777221731
CSPG4	4.284536698
CSRP1	10.30478927
CSRP2	9.644192217
SLC25A10	6.959458287
CST1	5.009163022
CST2	5.545598004
CST3	8.980840193
CST5	4.70710638
CST6	7.754125787
CSTA	6.010009425
CSTB	10.0791072
CSTF1	7.578567942
CSTF2	8.419783409
CSTF3	8.426654236
NKX2-5	5.907961018
CTBS	7.685187904
CTBP1	8.648806587
CTBP2	9.192165213
CTF1	5.829248015
CCN2	10.83861834
CTH	7.115455046
CTLA4	4.63979622
CTNNA1	10.75687462
CTNNA2	4.358834167
CTNS	6.694437802
CTNNB1	9.021369188
CTNND2	4.119187347
CTPS1	9.936624091
CTRL	4.995782913
CTSB	9.62530057
CTSD	7.495363072
CTSE	5.193919028
CTSG	5.430009316
CTSH	7.613121987
CTSK	6.165099483
CTSL	10.26218812
CTSV	10.31721775
CTSO	6.10546624
CTSS	6.002276374
CTSW	5.23356106
CTSZ	8.250344518
CUX1	7.22476957
CX3CR1	4.269464807
CXADR	6.712619417
TEX28	4.927150412
CYB5A	9.349539565
CYB561	7.405368717
CYBA	9.70405526
CYBB	4.197907741
CYC1	10.89563037
CYLC1	4.291272627
CYLC2	3.994566444
CYLD	6.487394873
CYP1A1	5.747294252
CYP1A2	5.531281462
CYP1B1	7.137403242
CYP2A6	5.595086872
CYP2A7	5.184178229
CYP2A13	5.394029047
CYP2B6	4.443275228
CYP2C19	4.300062207
CYP2C8	3.740959249
CYP2C9	4.510777248
CYP2C18	4.038937072
CYP2D6	5.875183547
CYP2E1	4.7651917
CYP2F1	3.866385284
CYP2J2	5.698035656
CYP3A4	5.390846211
CYP3A5	5.004239959
CYP4A11	4.655619029
CYP4B1	4.01147218
CYP7A1	3.616191552
CYP11A1	4.441710667
CYP11B1	4.158260738
CYP11B2	5.633213465
CYP17A1	4.604532805
CYP19A1	4.217874211
CYP24A1	7.18195069
CYP26A1	5.51497731
CYP27A1	6.199383519
CYP27B1	5.607392314
DAB1	4.604000422
DACH1	4.285245063
DAD1	11.81223493
CD55	8.13363486
DAG1	8.608965517
DGKA	7.295313215
DGKB	3.640084326
DGKG	5.222001685
DGKQ	6.565150222
DAO	4.912326021
DAP	8.890668537
DAPK1	7.026844894
DARS1	10.44656374
DAXX	7.786968764
DAZL	3.539958795
BRINP1	5.164914256
DBH	5.169555989
DBI	12.05474339
DBN1	8.986105219
DBP	5.358329404
DBT	5.726638494
DCC	3.883604883
ECI1	8.653932303
DCK	9.239745428
DCN	5.061582996
DCTD	9.405792489
ACE	4.629545276
DCT	4.450627303
DCTN1	8.343956333
DCX	3.817257223
DDB1	9.731806208
DDB2	8.360563905
DDC	5.356797254
AKR1C1	7.537356737
GADD45A	9.933390845
DDIT3	7.782981169
DDOST	11.01804354
DDX1	11.26584568
DDX3X	8.506442428
DDX6	7.290829244
DMXL1	6.692561911
DHX8	7.275027365
DHX9	7.600826078
DDX10	8.857358358
DDX11	6.368901491
DHX15	10.9128905
DECR1	9.519759713
DEFA4	4.822063468
DEFA5	4.39234228
DEFA6	5.383209582
DEFB1	5.424427542
DES	4.905669853
CFD	5.471289862
DFFA	8.151361206
DFFB	5.558598839
TIMM8A	7.504315073
GSDME	9.703236933
COCH	7.495282469
DGUOK	8.362161064
DHCR7	9.4834837
DHCR24	9.645774231
DHFR	8.569329667
DHODH	6.150554142
DHPS	8.336005066
CYB5R3	10.72725028
NQO1	10.4669923
DIAPH1	9.226045052
DIAPH2	6.780910415
DIO1	3.853406566
DIO2	5.032293571
DIO3	5.718874275
DLAT	8.271346201
DLD	8.810911059
DLG1	7.857711726
DLG2	4.276354756
DLG3	6.372344882
DLG4	5.536171808
DLST	8.718331889
DLX2	6.694802286
DLX4	5.011009055
DLX5	4.422591466
DLX6	4.214775297
DMBT1	5.940013064
DMD	4.705654779
SARDH	4.366688305
DMP1	3.916320001
DNM1	7.180633529
DMPK	5.920289641
DMRT1	4.098293874
DMWD	6.339953798
DNA2	7.396238004
DNAH9	4.249861484
DNASE1	5.38158122
DNASE1L1	8.526804883
DNASE1L2	5.400038728
DNASE1L3	4.699674541
DNASE2	7.646363448
DYNC1H1	8.6342665
DYNC1I1	5.416287416
DYNC1I2	9.987509948
DYNC1LI2	9.211760412
DNM2	6.88781237
DNMT1	10.2454776
TRDMT1	6.066868111
DNMT3A	5.603182628
DNMT3B	6.887647777
DNTT	4.826209123
DOCK1	7.02242981
DOCK2	5.46562904
DOCK3	4.862006191
DOK1	6.480826387
DXO	7.36183049
DPAGT1	8.115515613
DPEP1	5.362075069
DPH2	7.606510741
DPP4	5.30639375
DPP6	4.471676591
DPT	4.202898901
DPYD	5.729920794
DPYS	4.134771176
DPYSL2	10.90595294
DPYSL3	6.458294451
DR1	8.524442266
SLC26A3	3.585020656
DRD1	3.738263145
DRD2	5.994494316
DRD3	4.025836986
DRD4	4.904991974
DRD5	4.948606461
DRG2	7.700413718
ARID3A	6.254555409
DRP2	4.49302789
ATN1	5.898995375
DSC1	3.963338927
DSC2	7.01040394
DSC3	5.362614323
DSCAM	5.379681059
RCAN1	8.393895132
DSG1	3.817777364
DSG2	9.986681877
DSG3	4.799553227
TSC22D3	8.322602278
DSP	9.726391443
EPYC	4.126582901
DSPP	4.796218277
SLC26A2	9.93689889
DTNA	5.58621177
DTNB	5.444263422
HBEGF	7.123056789
DTYMK	7.604856941
ECM2	4.058312677
DUSP1	9.887566449
DUSP2	6.05699849
DUSP3	8.939819283
DUSP4	8.053112045
DUSP5	8.316857553
DUSP6	8.280619438
DUSP7	7.228635743
DUSP9	5.476538892
DUT	10.38094476
