set_name,Doxorubicin,Fulvestrant,Gemcitabine,Paclitaxel,Zoledronic Acid,Palbociclib
Epithelial Mesenchymal Transition,0.004545454545454545,0.0,0.0,0.0,0.009569377990430622,0.0
Inflammatory Response,0.004545454545454545,0.0,0.0,0.004545454545454545,0.004761904761904762,0.0
Xenobiotic Metabolism,0.004545454545454545,0.004830917874396135,0.0,0.0,0.004761904761904762,0.0
Fatty Acid Metabolism,0.010256410256410256,0.00546448087431694,0.0,0.0,0.0,0.0
Oxidative Phosphorylation,0.0,0.0,0.0,0.0,0.0,0.0
Glycolysis,0.0,0.0,0.0,0.0,0.0,0.0
Reactive Oxygen Species Pathway,0.014492753623188406,0.0,0.0,0.0,0.0,0.0
p53 Pathway,0.004545454545454545,0.0,0.0,0.0,0.0,0.0
UV Response Up,0.0056179775280898875,0.0,0.0,0.0056179775280898875,0.011976047904191617,0.005988023952095809
UV Response Dn,0.018518518518518517,0.0,0.0,0.012269938650306749,0.0,0.006535947712418301
Angiogenesis,0.0,0.0,0.0,0.0,0.0,0.0
heme Metabolism,0.0091324200913242,0.0,0.0,0.0,0.004761904761904762,0.0
Coagulation,0.012738853503184714,0.0,0.0,0.006329113924050633,0.027586206896551724,0.0
IL-2/STAT5 Signaling,0.0045662100456621,0.0,0.0,0.0045662100456621,0.004784688995215311,0.0
Bile Acid Metabolism,0.007575757575757576,0.02564102564102564,0.0,0.007575757575757576,0.0,0.0
Pperoxisome,0.016260162601626018,0.027522935779816515,0.0,0.016260162601626018,0.008771929824561403,0.0
Allograft Rejection,0.004545454545454545,0.0,0.0,0.0,0.004761904761904762,0.0
Spermatogenesis,0.012987012987012988,0.0,0.0,0.0,0.0,0.0
KRAS Signaling Up,0.004545454545454545,0.004830917874396135,0.0,0.004545454545454545,0.009569377990430622,0.0
KRAS Signaling Dn,0.004545454545454545,0.0,0.0,0.004545454545454545,0.0,0.0
Pancreas Beta Cells,0.0,0.0,0.0,0.0,0.0,0.0
ABC transporters,0.08196721311475409,0.0,0.0,0.047619047619047616,0.0,0.0
AGE-RAGE signaling pathway in diabetic complications,0.008333333333333333,0.0,0.0,0.0,0.00909090909090909,0.018518518518518517
AMPK signaling pathway,0.0,0.0,0.0,0.0,0.0,0.015625
Acute myeloid leukemia,0.0,0.0,0.0,0.0,0.0,0.04054054054054054
Adherens junction,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.0
Adipocytokine signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Adrenergic signaling in cardiomyocytes,0.0,0.0,0.0,0.0,0.0,0.0
African trypanosomiasis,0.0,0.0,0.0,0.0,0.0,0.0
"Alanine, aspartate and glutamate metabolism",0.0,0.0,0.0,0.0,0.0,0.0
Alcoholism,0.0,0.0,0.0,0.0,0.0,0.0
Aldosterone synthesis and secretion,0.0,0.0,0.0,0.0,0.0,0.0
Aldosterone-regulated sodium reabsorption,0.0,0.0,0.0,0.0,0.0,0.0
Allograft rejection,0.0,0.0,0.0,0.0,0.0,0.0
Alzheimer disease,0.002570694087403599,0.0,0.0,0.023622047244094488,0.0,0.0
Amino sugar and nucleotide sugar metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Aminoacyl-tRNA biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Amoebiasis,0.0,0.0,0.0,0.0,0.0,0.0
Amphetamine addiction,0.0,0.0,0.0,0.0,0.0,0.0
Amyotrophic lateral sclerosis,0.0026041666666666665,0.0,0.0,0.023936170212765957,0.0,0.0
Antigen processing and presentation,0.0,0.0,0.0,0.0,0.0,0.0
Apelin signaling pathway,0.0,0.0,0.0,0.0,0.0,0.00684931506849315
Arachidonic acid metabolism,0.012345679012345678,0.014705882352941176,0.0,0.0,0.0,0.0
Arginine and proline metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Arginine biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Arrhythmogenic right ventricular cardiomyopathy,0.0,0.0,0.0,0.0,0.0,0.0
Ascorbate and aldarate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Asthma,0.0,0.0,0.0,0.0,0.0,0.0
Autoimmune thyroid disease,0.0,0.0,0.0,0.0,0.0,0.0
Autophagy,0.0056179775280898875,0.0,0.0,0.04678362573099415,0.0,0.0
Axon guidance,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0
B cell receptor signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Bacterial invasion of epithelial cells,0.0,0.0,0.0,0.0,0.0,0.0
Basal cell carcinoma,0.0,0.0,0.0,0.0,0.0,0.0
Basal transcription factors,0.0,0.0,0.0,0.0,0.0,0.0
Base excision repair,0.0,0.0,0.05128205128205128,0.0,0.0,0.0
Bile secretion,0.027777777777777776,0.010309278350515464,0.0,0.01834862385321101,0.01,0.0
Biosynthesis of unsaturated fatty acids,0.0,0.0,0.0,0.0,0.0,0.0
Bladder cancer,0.03333333333333333,0.0,0.0,0.01639344262295082,0.04,0.04081632653061224
Breast cancer,0.005988023952095809,0.019736842105263157,0.0,0.005988023952095809,0.0,0.01948051948051948
Butanoate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
C-type lectin receptor signaling pathway,0.008064516129032258,0.0,0.0,0.0,0.0,0.0
Caffeine metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Calcium signaling pathway,0.011627906976744186,0.0,0.0,0.011627906976744186,0.0,0.0
Carbohydrate digestion and absorption,0.0,0.0,0.0,0.0,0.0,0.0
Cardiac muscle contraction,0.0,0.0,0.0,0.0,0.0,0.0
Cell adhesion molecules,0.0,0.0,0.0,0.0,0.0,0.0
Cell cycle,0.0,0.0,0.0,0.0,0.0,0.03875968992248062
Cellular senescence,0.0,0.0,0.0,0.0,0.0,0.031055900621118012
Central carbon metabolism in cancer,0.011111111111111112,0.0,0.0,0.011111111111111112,0.0,0.012658227848101266
Chagas disease,0.0,0.0,0.0,0.0,0.0,0.0
Chemical carcinogenesis,0.0,0.01646090534979424,0.0,0.0,0.0,0.008097165991902834
Chemokine signaling pathway,0.0,0.0,0.0,0.0,0.0,0.004975124378109453
Cholesterol metabolism,0.0,0.0,0.0,0.014285714285714285,0.0,0.0
Choline metabolism in cancer,0.0,0.0,0.0,0.0,0.0,0.0
Cholinergic synapse,0.015151515151515152,0.0,0.0,0.007518796992481203,0.0,0.0
Chronic myeloid leukemia,0.0,0.0,0.0,0.0,0.0,0.03614457831325301
Circadian entrainment,0.0,0.0,0.0,0.0,0.0,0.0
Circadian rhythm,0.0,0.0,0.0,0.0,0.0,0.0
Citrate cycle (TCA cycle),0.0,0.0,0.0,0.0,0.0,0.0
Cocaine addiction,0.0,0.0,0.0,0.0,0.0,0.0
Collecting duct acid secretion,0.0,0.0,0.0,0.0,0.02702702702702703,0.0
Colorectal cancer,0.0,0.0,0.0,0.0,0.0,0.010526315789473684
Complement and coagulation cascades,0.0,0.0,0.0,0.0,0.0,0.0
Coronavirus disease,0.003968253968253968,0.0,0.0,0.0,0.0,0.0
Cortisol synthesis and secretion,0.0,0.0,0.0,0.0,0.0,0.0
Cushing syndrome,0.0,0.0,0.0,0.0,0.0,0.024844720496894408
Cysteine and methionine metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Cytokine-cytokine receptor interaction,0.0,0.0,0.0,0.0,0.0,0.0
Cytosolic DNA-sensing pathway,0.012048192771084338,0.0,0.0,0.0,0.0,0.0
D-Glutamine and D-glutamate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
DNA replication,0.0,0.0,0.07317073170731707,0.0,0.0,0.0
Diabetic cardiomyopathy,0.004484304932735426,0.0,0.0,0.0,0.009433962264150943,0.0
Dilated cardiomyopathy,0.0,0.0,0.0,0.0,0.0,0.0
Dopaminergic synapse,0.0,0.0,0.0,0.0,0.0,0.0
Drug metabolism,0.0,0.0,0.02654867256637168,0.0,0.0,0.0
ECM-receptor interaction,0.0,0.0,0.0,0.0,0.0,0.0
Endocrine and other factor-regulated calcium reabsorption,0.0,0.016666666666666666,0.0,0.0,0.0,0.0
Endocytosis,0.0,0.0,0.0,0.0,0.0,0.0
Endometrial cancer,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.014925373134328358
Epithelial cell signaling in Helicobacter pylori infection,0.0,0.0,0.0,0.0,0.0,0.0
Epstein-Barr virus infection,0.0,0.0,0.0,0.0,0.0,0.02912621359223301
ErbB signaling pathway,0.009523809523809525,0.0,0.0,0.009523809523809525,0.0,0.0
Estrogen signaling pathway,0.006369426751592357,0.028368794326241134,0.0,0.0,0.0136986301369863,0.0
Ether lipid metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Fanconi anemia pathway,0.0,0.0,0.0,0.0,0.0,0.0
Fat digestion and absorption,0.0,0.0,0.0,0.0,0.0,0.0
Fatty acid biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Fatty acid degradation,0.0,0.0,0.0,0.0,0.0,0.0
Fatty acid elongation,0.0,0.0,0.0,0.0,0.0,0.0
Fc epsilon RI signaling pathway,0.011363636363636364,0.0,0.0,0.011363636363636364,0.0,0.0
Fc gamma R-mediated phagocytosis,0.0,0.0,0.0,0.0,0.0,0.0
Ferroptosis,0.01639344262295082,0.0,0.0,0.0,0.0,0.0
Fluid shear stress and atherosclerosis,0.006289308176100629,0.0,0.0,0.0,0.013513513513513514,0.0
Focal adhesion,0.00909090909090909,0.0,0.0,0.00909090909090909,0.0,0.004761904761904762
Folate biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
FoxO signaling pathway,0.0,0.0,0.0,0.0,0.0,0.014388489208633094
Fructose and mannose metabolism,0.0,0.0,0.0,0.0,0.0,0.0
GABAergic synapse,0.0,0.0,0.0,0.0,0.0,0.0
Galactose metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Gap junction,0.0,0.0,0.0,0.09,0.0,0.0
Gastric acid secretion,0.0,0.0,0.0,0.0,0.011627906976744186,0.0
Gastric cancer,0.017964071856287425,0.0,0.0,0.011904761904761904,0.0,0.012738853503184714
Glioma,0.0,0.0,0.0,0.0,0.0,0.036585365853658534
Glucagon signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Glutamatergic synapse,0.0,0.0,0.0,0.0,0.0,0.0
Glutathione metabolism,0.0,0.0,0.031746031746031744,0.0,0.0,0.0
Glycerolipid metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Glycerophospholipid metabolism,0.0,0.0,0.0,0.0,0.0,0.0
"Glycine, serine and threonine metabolism",0.0,0.0,0.0,0.0,0.0,0.0
Glycolysis / Gluconeogenesis,0.0,0.0,0.0,0.0,0.0,0.0
Glycosaminoglycan biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Glycosaminoglycan degradation,0.0,0.0,0.0,0.0,0.0,0.0
Glycosphingolipid biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Glyoxylate and dicarboxylate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
GnRH secretion,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
GnRH signaling pathway,0.008849557522123894,0.0,0.0,0.0,0.0196078431372549,0.0
Graft-versus-host disease,0.0,0.0,0.0,0.0,0.0,0.0
"Growth hormone synthesis, secretion and action",0.0,0.0,0.0,0.0,0.0,0.0
HIF-1 signaling pathway,0.007751937984496124,0.0,0.0,0.007751937984496124,0.0,0.0
Hedgehog signaling pathway,0.0,0.0,0.0,0.0,0.0,0.015384615384615385
Hematopoietic cell lineage,0.0,0.0,0.0,0.0,0.0,0.009259259259259259
Hepatitis B,0.0,0.0,0.0,0.0,0.005813953488372093,0.01775147928994083
Hepatitis C,0.0,0.0,0.0,0.0,0.0,0.024539877300613498
Hepatocellular carcinoma,0.005319148936170213,0.0,0.0,0.0,0.0,0.017142857142857144
Herpes simplex virus 1 infection,0.0,0.0,0.0,0.0,0.0,0.0
Hippo signaling pathway,0.0,0.0,0.0,0.0,0.0,0.005813953488372093
Histidine metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Homologous recombination,0.0,0.0,0.020833333333333332,0.0,0.0,0.0
Human T-cell leukemia virus 1 infection,0.008403361344537815,0.0,0.0,0.0,0.004366812227074236,0.022321428571428572
Human cytomegalovirus infection,0.0,0.0,0.0,0.0,0.0,0.01293103448275862
Human immunodeficiency virus 1 infection,0.0,0.0,0.0,0.0,0.0,0.0
Human papillomavirus infection,0.002849002849002849,0.0,0.0,0.0,0.0,0.01488095238095238
Huntington disease,0.0,0.0,0.0,0.02830188679245283,0.0,0.0
Hypertrophic cardiomyopathy,0.0,0.0,0.0,0.0,0.0,0.0
IL-17 signaling pathway,0.0,0.0,0.0,0.0,0.009615384615384616,0.0
Inflammatory bowel disease,0.0,0.0,0.0,0.011764705882352941,0.0,0.0
Inflammatory mediator regulation of TRP channels,0.0,0.0,0.0,0.0,0.0,0.0
Influenza A,0.005208333333333333,0.0,0.0,0.0,0.005494505494505495,0.011111111111111112
Inositol phosphate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Insulin resistance,0.0,0.0,0.0,0.0,0.0,0.008547008547008548
Insulin secretion,0.0,0.0,0.0,0.009433962264150943,0.0,0.0
Insulin signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Intestinal immune network for IgA production,0.0,0.0,0.0,0.0,0.0,0.0
JAK-STAT signaling pathway,0.0,0.0,0.0,0.0,0.0,0.011764705882352941
Kaposi sarcoma-associated herpesvirus infection,0.0,0.0,0.0,0.0,0.0,0.015
Legionellosis,0.012987012987012988,0.0,0.0,0.0,0.0,0.0
Leishmaniasis,0.0,0.0,0.0,0.0,0.0,0.0
Leukocyte transendothelial migration,0.007462686567164179,0.0,0.0,0.0,0.016260162601626018,0.0
Linoleic acid metabolism,0.02040816326530612,0.0,0.0,0.0,0.0,0.0
Lipid and atherosclerosis,0.00425531914893617,0.0,0.0,0.0,0.0044444444444444444,0.0
Long-term depression,0.0,0.0,0.0,0.0,0.0,0.0
Long-term potentiation,0.0,0.0,0.0,0.0,0.0,0.013157894736842105
Longevity regulating pathway,0.0,0.0,0.0,0.0,0.0,0.0
Lysine degradation,0.0,0.0,0.0,0.0,0.0,0.0
Lysosome,0.0,0.0,0.0,0.0,0.0,0.0
MAPK signaling pathway,0.0031847133757961785,0.0,0.0,0.0031847133757961785,0.0,0.006622516556291391
Malaria,0.0,0.0,0.0,0.0,0.0,0.0
Mannose type O-glycan biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Maturity onset diabetes of the young,0.0,0.0,0.0,0.0,0.0,0.0
Measles,0.0,0.0,0.0,0.0,0.0,0.034722222222222224
Melanogenesis,0.0,0.0,0.0,0.0,0.0,0.0
Melanoma,0.0,0.0,0.0,0.0,0.0,0.0379746835443038
Metabolism of xenobiotics by cytochrome P450,0.0,0.0,0.0,0.0,0.0,0.0
MicroRNAs in cancer,0.009146341463414634,0.0,0.0,0.0060790273556231,0.003125,0.006289308176100629
Mineral absorption,0.0,0.0,0.0,0.0,0.0,0.0
Mismatch repair,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
Mitophagy,0.0,0.0,0.0,0.0,0.0,0.0
Morphine addiction,0.0,0.0,0.0,0.0,0.0,0.0
Mucin type O-glycan biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
N-Glycan biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
NF-kappa B signaling pathway,0.008064516129032258,0.0,0.0,0.0,0.0,0.0
NOD-like receptor signaling pathway,0.004975124378109453,0.0,0.0,0.004975124378109453,0.0,0.0
Natural killer cell mediated cytotoxicity,0.013333333333333334,0.0,0.0,0.006622516556291391,0.0,0.0
Necroptosis,0.011235955056179775,0.0,0.0,0.0,0.0,0.005952380952380952
"Neomycin, kanamycin and gentamicin biosynthesis",0.0,0.0,0.0,0.0,0.0,0.0
Neuroactive ligand-receptor interaction,0.008356545961002786,0.0,0.0,0.0111731843575419,0.0,0.0
Neurotrophin signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0078125
Neutrophil extracellular trap formation,0.004784688995215311,0.0,0.0,0.0,0.0,0.0
Nicotinate and nicotinamide metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Nicotine addiction,0.0,0.0,0.0,0.0,0.0,0.0
Nitrogen metabolism,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
Non-alcoholic fatty liver disease,0.0,0.0,0.0,0.0,0.0,0.0
Non-homologous end-joining,0.0,0.0,0.0,0.0,0.0,0.0
Non-small cell lung cancer,0.010869565217391304,0.0,0.0,0.010869565217391304,0.0,0.05128205128205128
Notch signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Nucleotide excision repair,0.0,0.0,0.03773584905660377,0.0,0.0,0.0
Olfactory transduction,0.0,0.0,0.0,0.0,0.0,0.0
One carbon pool by folate,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
Oocyte meiosis,0.006711409395973154,0.007352941176470588,0.0,0.0,0.0,0.014598540145985401
Osteoclast differentiation,0.0136986301369863,0.0,0.0,0.006802721088435374,0.0,0.0
Other glycan degradation,0.0,0.0,0.0,0.0,0.0,0.0
Other types of O-glycan biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Ovarian steroidogenesis,0.0,0.0,0.0,0.0,0.0,0.0
Oxidative phosphorylation,0.0,0.0,0.0,0.0,0.0,0.0
Oxytocin signaling pathway,0.0,0.0,0.0,0.0,0.0,0.006134969325153374
PD-L1 expression and PD-1 checkpoint pathway in cancer,0.009174311926605505,0.0,0.0,0.0,0.0,0.0
PI3K-Akt signaling pathway,0.005361930294906166,0.0,0.0,0.00267379679144385,0.0,0.01675977653631285
PPAR signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Pancreatic cancer,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.03614457831325301
Pancreatic secretion,0.0,0.0,0.0,0.00819672131147541,0.008928571428571428,0.0
Pantothenate and CoA biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
"Parathyroid hormone synthesis, secretion and action",0.0,0.0,0.0,0.0,0.008620689655172414,0.0
Parkinson disease,0.0,0.0,0.0,0.034482758620689655,0.0,0.0
Pathogenic Escherichia coli infection,0.009259259259259259,0.0,0.0,0.04807692307692308,0.0,0.0
Pathways in cancer,0.00546448087431694,0.0037243947858473,0.0,0.0018148820326678765,0.003703703703703704,0.013108614232209739
Pathways of neurodegeneration,0.00202020202020202,0.0,0.0,0.018480492813141684,0.0,0.0
Pentose and glucuronate interconversions,0.0,0.0,0.0,0.0,0.0,0.0
Pentose phosphate pathway,0.0,0.0,0.0,0.0,0.0,0.0
Peroxisome,0.0,0.011235955056179775,0.0,0.0,0.0,0.0
Pertussis,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
Phagosome,0.0,0.0,0.0,0.054878048780487805,0.0,0.0
Phenylalanine metabolism,0.0,0.0,0.0,0.0,0.0,0.0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.0,0.0,0.0,0.0,0.0,0.0
Phosphatidylinositol signaling system,0.0,0.0,0.0,0.0,0.0,0.0
Phospholipase D signaling pathway,0.005952380952380952,0.0,0.0,0.005952380952380952,0.0,0.0
Phosphonate and phosphinate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Phototransduction,0.0,0.0,0.0,0.0,0.0,0.0
Platelet activation,0.006944444444444444,0.0,0.0,0.006944444444444444,0.0,0.0
Porphyrin and chlorophyll metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Primary bile acid biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Primary immunodeficiency,0.017241379310344827,0.0,0.0,0.0,0.0,0.02127659574468085
Prion disease,0.0034129692832764505,0.0,0.0,0.035211267605633804,0.0,0.0
Progesterone-mediated oocyte maturation,0.008333333333333333,0.009345794392523364,0.0,0.0,0.0,0.028037383177570093
Prolactin signaling pathway,0.0,0.02631578947368421,0.0,0.0,0.0,0.012658227848101266
Propanoate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Prostate cancer,0.008547008547008548,0.0,0.0,0.008547008547008548,0.009345794392523364,0.01904761904761905
Proteasome,0.0,0.0,0.0,0.0,0.0,0.0
Protein digestion and absorption,0.0,0.0,0.0,0.0,0.0,0.0
Protein export,0.0,0.0,0.0,0.0,0.0,0.0
Protein processing in endoplasmic reticulum,0.0,0.0,0.0,0.0,0.0,0.0
Proteoglycans in cancer,0.008928571428571428,0.0047169811320754715,0.0,0.0044444444444444444,0.009345794392523364,0.004672897196261682
Proximal tubule bicarbonate reclamation,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
Purine metabolism,0.0,0.0,0.022388059701492536,0.0,0.0,0.0
Pyrimidine metabolism,0.0,0.0,0.0847457627118644,0.0,0.0,0.0
Pyruvate metabolism,0.0,0.0,0.0,0.0,0.0,0.0
RIG-I-like receptor signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
RNA degradation,0.0,0.0,0.0,0.0,0.0,0.0
RNA polymerase,0.0,0.0,0.0,0.0,0.0,0.0
RNA transport,0.0,0.0,0.0,0.0,0.0,0.0
Rap1 signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Ras signaling pathway,0.0,0.0,0.0,0.0,0.0,0.004149377593360996
Regulation of actin cytoskeleton,0.004201680672268907,0.0,0.0,0.0,0.0,0.0
Regulation of lipolysis in adipocytes,0.0,0.0,0.0,0.0,0.0,0.0
Relaxin signaling pathway,0.006711409395973154,0.0,0.0,0.0,0.014492753623188406,0.0
Renal cell carcinoma,0.0,0.0,0.0,0.0,0.0,0.0
Renin secretion,0.0,0.0,0.0,0.0,0.0,0.0
Renin-angiotensin system,0.0,0.0,0.0,0.0,0.0,0.0
Retinol metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Retrograde endocannabinoid signaling,0.0,0.0,0.0,0.0,0.0,0.0
Rheumatoid arthritis,0.0,0.0,0.0,0.0,0.0,0.0
Riboflavin metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Ribosome,0.0,0.0,0.0,0.0,0.0,0.0
Ribosome biogenesis in eukaryotes,0.0,0.0,0.0,0.0,0.0,0.0
SNARE interactions in vesicular transport,0.0,0.0,0.0,0.0,0.0,0.0
Salivary secretion,0.0,0.0,0.0,0.0,0.0,0.0
Salmonella infection,0.0037174721189591076,0.0,0.0,0.034482758620689655,0.0,0.0
Selenocompound metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Serotonergic synapse,0.022900763358778626,0.0,0.0,0.0,0.0,0.0
Shigellosis,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0
Signaling pathways regulating pluripotency of stem cells,0.0,0.0,0.0,0.0,0.0,0.006578947368421052
Small cell lung cancer,0.0,0.0,0.0,0.0,0.0,0.04081632653061224
Sphingolipid metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Sphingolipid signaling pathway,0.014492753623188406,0.0,0.0,0.014492753623188406,0.0,0.0
Spinocerebellar ataxia,0.0,0.0,0.0,0.0,0.0,0.0
Spliceosome,0.0,0.0,0.0,0.0,0.0,0.0
Staphylococcus aureus infection,0.0,0.0,0.0,0.0,0.0,0.0
Starch and sucrose metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Steroid biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Steroid hormone biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0
Sulfur metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Sulfur relay system,0.0,0.0,0.0,0.0,0.0,0.0
Synaptic vesicle cycle,0.0,0.0,0.0,0.0,0.0,0.0
Synthesis and degradation of ketone bodies,0.0,0.0,0.0,0.0,0.0,0.0
Systemic lupus erythematosus,0.0,0.0,0.0,0.0,0.0,0.0
T cell receptor signaling pathway,0.016260162601626018,0.0,0.0,0.008064516129032258,0.0,0.008849557522123894
TGF-beta signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
TNF signaling pathway,0.0,0.0,0.0,0.007575757575757576,0.01652892561983471,0.0
Taste transduction,0.009433962264150943,0.0,0.0,0.0,0.0,0.0
Taurine and hypotaurine metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Terpenoid backbone biosynthesis,0.0,0.0,0.0,0.0,0.06451612903225806,0.0
Th1 and Th2 cell differentiation,0.008928571428571428,0.0,0.0,0.0,0.0,0.009900990099009901
Th17 cell differentiation,0.007874015748031496,0.0,0.0,0.0,0.0,0.008620689655172414
Thermogenesis,0.0,0.0,0.0,0.0,0.0,0.004149377593360996
Thiamine metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Thyroid cancer,0.0,0.0,0.0,0.0,0.0,0.021739130434782608
Thyroid hormone signaling pathway,0.0,0.0078125,0.0,0.0,0.0,0.007692307692307693
Thyroid hormone synthesis,0.0,0.0,0.0,0.0,0.0,0.0
Tight junction,0.005291005291005291,0.0,0.0,0.005291005291005291,0.0,0.011299435028248588
Toll-like receptor signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0
Toxoplasmosis,0.0,0.0,0.0,0.0,0.0,0.0
Transcriptional misregulation in cancer,0.0,0.0,0.0,0.0,0.0049504950495049506,0.01507537688442211
Tryptophan metabolism,0.0,0.0,0.0,0.0,0.0,0.0
Tuberculosis,0.0,0.0,0.0,0.005,0.0,0.0
